,Codigo,Nombre,Unidad,CodigobyCodigo,TitlebyCodigo
140,R-WD,WIPER DESECHABLE CON 120 HOJAS,ROL,R-WD,WIPER DESECHABLE CON 120 HOJAS
449,PRT-2091NV,WIPER 100% POLIESTER 9X9 C/50,PAQ,PRT-2091NV,WIPER 100% POLIESTER 9X9 C/50
456,WD10116,WD-40 AEROSOL 16 OZ,PZA,WD10116,WD-40 AEROSOL 16 OZ
36,VT-08,VASO TIPO TERMICO No 8 C/1000 REYMA,CAJ,VT-08,VASO TIPO TERMICO No 8 C/1000 REYMA
2888,VT-10,VASO TIPO TERMICO No 10C/1000 REYMA,CAJ,VT-10,VASO TIPO TERMICO No 10 C/1000 REYMA
455,VT-10,VASO TIPO TERMICO No 10 C/1000 REYMA,CAJ,VT-10,VASO TIPO TERMICO No 10 C/1000 REYMA
2414,LIM024,VASO TIPO CONO C/5000 VENUS,CAJ,LIM042,SENALAMIENTO PISO MOJADO
22,CONO-AXX,VASO TIPO CONO C/5000 CON ENCERADO,CAJ,CONO-AXX,VASO TIPO CONO C/5000 CON ENCERADO
10945,VR-MM,VARILLA MM NEGRA 22-2.5 X 1 M,PZA,VR-MM,VARILLA MM NEGRA 22-2.5 X 1 M
932,T7-200T,TUBULAR 7 X3000 TRANSPARENTE CAL. 200,ROL,T7-200T,TUBULAR 7 X3000 TRANSPARENTE CAL. 200
148,T60TR,TUBULAR 60 CM TRANSPARENTE CAL. 150,ROL,T60TR,TUBULAR 60 CM TRANSPARENTE CAL. 150
6660,T-10,TUBULAR 10TRANSPARENTE 15 KG,ROL,T-01,TERMOMETRO
54,TIC50I,TRAPO INDUSTRIAL DE COLOR 50 LBS,BOL,TIC50I,TRAPO INDUSTRIAL DE COLOR 50 LBS
8860,TIC40-I,TRAPO INDUSTRIAL DE COLOR 40 LBS,BOL,TIC40-I,TRAPO INDUSTRIAL DE COLOR 40 LBS
194,TIC35-I,TRAPO INDUSTRIAL DE COLOR,BOL,TIC35-I,TRAPO INDUSTRIAL DE COLOR
367,TIC50-I,TRAPO INDUSTRIAL BLANCO,BUL,TIC50-I,TRAPO INDUSTRIAL BLANCO
180,LIM085,TRAPEADOR DE ALGODON JUMBO ROJO,PZA,LIM085,TRAPEADOR DE ALGODON JUMBO ROJO
398,LIM046,TRAPEADOR DE ALGODON GRANDE AZUL,PZA,LIM046,TRAPEADOR DE ALGODON GRANDE AZUL
429,LCD100,TOALLITAS LIMPIA-LENTES C/100,DIS,LCD100,TOALLITAS LIMPIA-LENTES C/100
3112,TI19701,TOALLA INTERDOBLADABLANCAC/12 PAQ DE 250 PIEZAS,CAJ,TI19701,TOALLA INTERDOBLADA BLANCA C/12 PAQ DE 250 PIEZAS
3111,TI03800,TOALLA INTERDOBLADABLANCA FAPSA C/16 PAQ/250 PIEZAS,CAJ,TI03800,TOALLA INTERDOBLADA BLANCA FAPSA C/16 PAQ/250 PIEZAS
3458,TI03895,TOALLA INTERDOBLADA CAFE 8 PAQ C/250,CAJ,TI03895,TOALLA INTERDOBLADA CAFE 8 PAQ C/250
416,92239,TOALLA INTERDOBLADA BLANCO 12 PAQ C/250,CAJ,92239,TOALLA INTERDOBLADA BLANCO 12 PAQ C/250
487,TI03800,TOALLA INTERDOBLADA BLANCA FAPSA C/16 PAQ/250 PIEZAS,CAJ,TI03800,TOALLA INTERDOBLADA BLANCA FAPSA C/16 PAQ/250 PIEZAS
636,TI2250,TOALLA INTERDOBLADA BLANCA 8 PAQ C/250,CAJ,TI2250,TOALLA INTERDOBLADA BLANCA 8 PAQ C/250
827,TR03600,TOALLA EN ROLLO FAPSA 350,CAJ,TR03600,TOALLA EN ROLLO FAPSA 350
793,LIM045,TOALLA DESINFECTANTE CLOROX C/85 PC,PZA,LIM045,TOALLA DESINFECTANTE CLOROX C/85 PC
173,92244,TOALLA DE ROLLO CAFE MARLI C/6 PC 180 MTS,CAJ,92244,TOALLA DE ROLLO CAFE MARLI C/6 PC 180 MTS
245,TR19601,TOALLA DE ROLLO CAFE C/6 PC 180 MTS DALIA,CAJ,TR19601,TOALLA DE ROLLO CAFE C/6 PC 180 MTS DALIA
101,TR03610,TOALLA DE ROLLO BLANCO FAPSA 180 MTS C/6 ROLLOS,CAJ,TR03610,TOALLA DE ROLLO BLANCO FAPSA 180 MTS C/6 ROLLOS
1153,KA213,TOALLA DE MICROFIBRA 9X9 C/100 PIEZAS,PAQ,KA213,TOALLA DE MICROFIBRA 9X9 C/100 PIEZAS
548,TIN19,TINNER 19 LTS,CU,TIN19,TINNER 19 LTS
3381,18550,TIJERA PARA SASTRE INDUSTRIAL 8,PZA,18550,TIJERA PARA SASTRE INDUSTRIAL 8 
6878,18501,TIJERA OJALATERO 10,PZA,18550,TIJERA PARA SASTRE INDUSTRIAL 8 
1901,T-01,TERMOMETRO,PZA,T-01,TERMOMETRO
8343,TEN,TENSIONADORA PARA FLEJE POLIPROPILENO DE 1/2,PZA,TEN,TENSIONADORA PARA FLEJE POLIPROPILENO DE 1/2
5122,H23,TENSIONADORA PARA FLEJE POLIESTER DE 1/2 A 5/8,PZA,H23,TENSIONADORA PARA FLEJE POLIESTER DE 1/2 A 5/8
5146,MIP-1200,TENSIONADORA PARA FLEJE METALICO,PZA,MIP-1200,TENSIONADORA PARA FLEJE METALICO
1217,LIM102,TENEDOR C/100 PIEZAS,PAQ,LIM102,TENEDOR C/100 PIEZAS
9959,KRD-N,TARJETA DE INVENTARIO,PZA,KRD-N,TARJETA DE INVENTARIO
122,FP70,TAPON AUDITIVO SIN CORDON 32 DECIDIBLES C/200 RADIANS,DIS,FP70,TAPON AUDITIVO SIN CORDON 32 DECIDIBLES C/200 RADIANS
2009,HA-SP-0073-SEE,TAPON AUDITIVO REUTILIZABLE C/100 STEELPRO,DIS,HA-SP-0073-SEE,TAPON AUDITIVO REUTILIZABLE C/100 STEELPRO
337,HA-SP-0073,TAPON AUDITIVO REUTILIZABLE C/100,DIS,HA-SP-0073,TAPON AUDITIVO REUTILIZABLE C/100
